App,Commit,Message,Decision
Twidere-Android,921be18,https://github.com/TwidereProject/Twidere-Android/commit/921be18,unknown
Twidere-Android,c09259f,https://github.com/TwidereProject/Twidere-Android/commit/c09259f,unknown
worldclockwidget,6353a77,https://github.com/arminha/worldclockwidget/commit/6353a77,unknown
Freebloks-Android,a25b5da,https://github.com/shlusiak/Freebloks-Android/commit/a25b5da,unknown
mirrored,8bc097f,https://gitlab.com/mirrored/mirrored/commit/8bc097f,unknown
opacclient,e6b3b9d,https://github.com/opacapp/opacclient/commit/e6b3b9d,unknown
open-event-android,121ba44,https://github.com/fossasia/open-event-android/commit/121ba44,unknown
OpenLinkWith,84e297a,https://github.com/tasomaniac/OpenLinkWith/commit/84e297a,performance
orgzly-android,0ce9c74,https://github.com/orgzly/orgzly-android/commit/0ce9c74,unknown
orweb,1163a07,https://github.com/guardianproject/Orweb/commit/1163a07,unknown
PlayWidget,f2eab30,https://github.com/Cleveroad/PlayWidget/commit/f2eab30,unknown
rgb-tool,4b580d9,https://github.com/fasteque/rgb-tool/commit/4b580d9,unknown
SASAbus,1730977,https://github.com/SASAbus/SASAbus/commit/1730977,unknown
Silence,68da4d2,https://github.com/SilenceIM/Silence/commit/68da4d2,unknown
stardroid,388b294,https://github.com/sky-map-team/stardroid/commit/388b294,reduce code size
turbo-editor,b3a8539,https://github.com/vmihalachi/turbo-editor/commit/b3a8539,unknown
MaterialAudiobookPlayer,659db40,https://github.com/PaulWoitaschek/MaterialAudiobookPlayer/commit/659db40,feature
MaterialAudiobookPlayer,11270f3,https://github.com/PaulWoitaschek/MaterialAudiobookPlayer/commit/11270f3,unknown
and-bookworm,a183a77,https://github.com/charlieCollins/and-bookworm/commit/a183a77,unknown
Android-Remote,0142165,https://github.com/clementine-player/Android-Remote/commit/0142165,use Android SDK func
AntennaPod,dc32fb8,https://github.com/AntennaPod/AntennaPod/commit/dc32fb8,unknown
AnyMemo,2902924,https://github.com/helloworld1/AnyMemo/commit/2902924,unknown
AnyMemo,9c0b40a,https://github.com/helloworld1/AnyMemo/commit/9c0b40a,performance
AnyMemo,4e69a1d,https://github.com/helloworld1/AnyMemo/commit/4e69a1d,unknown
apps-android-wikipedia,81df12f,https://github.com/wikimedia/apps-android-wikipedia/commit/81df12f,unknown
apps-android-wikipedia,1a70914,https://github.com/wikimedia/apps-android-wikipedia/commit/1a70914,unknown
apps-android-wikipedia,c24aab9,https://github.com/wikimedia/apps-android-wikipedia/commit/c24aab9,unknown
apps-android-wikipedia,a0f679c,https://github.com/wikimedia/apps-android-wikipedia/commit/a0f679c,feature
Audinaut,b13f719,https://github.com/nvllsvm/Audinaut/commit/b13f719,unknown
criticalmaps-android,533b714,https://github.com/criticalmaps/criticalmaps-android/commit/533b714,unknown
gobandroid,c69c18f,https://github.com/ligi/gobandroid/commit/c69c18f,unknown
LeafPic,4b88dad,https://github.com/HoraApps/LeafPic/commit/4b88dad,unknown
materialistic,241fe18,https://github.com/hidroh/materialistic/commit/241fe18,unknown
mtmods4android,0ad5a45,https://github.com/rubenwardy/mtmods4android/commit/0ad5a45,unknown
Omni-Notes,9dd03fb,https://github.com/federicoiosue/Omni-Notes/commit/9dd03fb,reliability
Omni-Notes,b87e27c,https://github.com/federicoiosue/Omni-Notes/commit/b87e27c,unknown
quitesleep,28c99a0,https://github.com/CesarValiente/quitesleep/commit/28c99a0,reliability
ShowsRage,be362c6,https://github.com/MGaetan89/ShowsRage/commit/be362c6,feature
