App name,URL,Old line number,New Line number,Imported library
pitivi,https://github.com/GNOME/pitivi/commit/1d7ae66#diff-cc86f6f544c9821addfcbe138f404fe2,227,224,unittest
pre-commit,https://github.com/pre-commit/pre-commit/commit/c65a11c#diff-83205468a6e0cd4a6f7722858822325f,40,40,six
pretenders,https://github.com/pretenders/pretenders/commit/82820c8#diff-6e7605ef5fe188898579b44380ec5020,60,24,bottle
pushbullet-cli,https://github.com/GustavoKatel/pushbullet-cli/commit/a36042d#diff-cad868cc2c32005091fb79dc50825f24,107-108,95,keyring
pycalphad,https://github.com/pycalphad/pycalphad/commit/2b093e5#diff-0b9d643d9b007554554adea9bb08370d,518,442,xarray
pyformat.info,https://github.com/ulope/pyformat.info/commit/68c0db9#diff-5bc02cefb3ea9e27f1a6776eabd1935dL165,169,163,ast
pyload,https://github.com/pyload/pyload/commit/0557925#diff-a1a5d3b0c7956df950790ada5e9c395d,132,132,js2py
python2-trepan,https://github.com/rocky/python2-trepan/commit/1a2eb2a#diff-49d31b30710a0d88860d29646c6e6014,135,135,pyficache
python-hearthstone,https://github.com/HearthSim/python-hearthstone/commit/d61e534#diff-abcbf3fb86226de1458984e4be1a150a,482,468,aniso8601
python-uncompyle6,https://github.com/rocky/python-uncompyle6/commit/af3d46b#diff-27b51e32972dc5dc6de9304b05cc47c3,521,522,xdis
pyvcloud,https://github.com/vmware/pyvcloud/commit/923ec3f#diff-bd1219c3f52b6d12cc36a72603e0959c,244,234,humanfriendly
rasterio,https://github.com/mapbox/rasterio/commit/6987299#diff-c489559f28d7ebbfaed151cf3092c45e,35,37,affine
redash,https://github.com/getredash/redash/commit/8a171ba#diff-3e796a1920be4aad17b502a86487e55f,85,38,jsonschema
shade,https://github.com/openstack-infra/shade/commit/10a3bb1#diff-8170bdb23209d2a77e484c8b86bf9fcf,2151,2153,ipaddress
twisted,https://github.com/twisted/twisted/commit/e2e0c71#diff-19a383d67f518cb991c253b231d176ee,181,181,hyperlink
voltron,https://github.com/snare/voltron/commit/bb523f5#diff-1d5e300fe49b0dad81398113b70d083d,60,8,scruffy
WeasyPrint,https://github.com/Kozea/WeasyPrint/commit/f29d23b#diff-7154e6dbb71eeeb48f06739352549dcdL699,704,325,pdfrw
