App name,URL,Old line number,New Line number,Imported library
mupen64plus-ae,https://github.com/paulscode/mupen64plus-ae/commit/1d2da7b#diff-0050299c1d42b0507235acf67a6c5451,129,132,tv.ouya.console.api.OuyaFacade
mupen64plus-ae,https://github.com/paulscode/mupen64plus-ae/commit/b1a166e#diff-4208fd0af6ebce302ac1877e63cb698e,170,171,android.text.TextUtils
MyExpenses,https://github.com/mtotschnig/MyExpenses/commit/dfb95eb#diff-505621b54dda063014a38e77e6ce0c08,157,160,org.acra.ACRA
MyExpenses,https://github.com/mtotschnig/MyExpenses/commit/dfb95eb#diff-9747afb37c7da06d3ceed3523a9840bd,1065,1068-1080,org.acra.ACRA
News-Android-App,https://github.com/nextcloud/news-android/commit/1951068#diff-d8321504a991392c6cf2ff7e06a6ebdc,139,56,com.nostra13.universalimageloader.core.ImageLoader
opacclient,https://github.com/opacapp/opacclient/commit/e6b3b9d#diff-84a125974a5050de96192119fd5a95d2,63,60,org.acra.ACRA
opacclient,https://github.com/opacapp/opacclient/commit/e6b3b9d#diff-8cc477b3488443fddb1e2b7b1cded1be,289,300,org.acra.ACRA
QuasselDroid,https://github.com/sandsmark/QuasselDroid/commit/28f2c18#diff-9bc64f4cf39525ad42e4b683f25f761c,181,180,de.kuschku.util.HelperUtils
seadroid,https://github.com/haiwen/seadroid/commit/251188e#diff-e494254d08fc4e2c10428f558f246bdb,503,498,org.apache.commons.io.FileUtils
sgtpuzzles,https://github.com/chrisboyle/sgtpuzzles/commit/678ee42#diff-4acf970ff198ef2b4607799ba298c5bb,762,751,android.support.v4.view.MenuItemCompat
simpletask-android,https://github.com/mpcjanssen/simpletask-android/commit/8f2a03e#diff-f40fb24debad7effdab904bb5e94a56d,140,146,com.dropbox.sync.android.DbxFileSystem
syncthing-android,https://github.com/syncthing/syncthing-android/commit/90bfb9f#diff-ea4eb058229657a6276ac79e3526a094,356,356,com.google.zxing.integration.android.IntentIntegrator
transdroid,https://github.com/erickok/transdroid/commit/03ada10#diff-5ae80e1ea719d878d9a3f353fba8f48f,193,189,com.actionbarsherlock.internal.ResourcesCompat
wheelmap-android,https://github.com/sozialhelden/wheelmap-android/commit/c868511#diff-33fe6b77fca1d68fb17ef49113c363ff,49,44,com.jayway.android.robotium.solo.SoloCompatibilityAbs
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/89bdf94#diff-2953aef944b65e656dda01a613027830,283,283,android.media.ThumbnailUtils
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/b79dfd5#diff-2af5a85a33820fc44eff46f861a0d3f8,93,93,android.support.v4.content.ContextCompat
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/a0cd889#diff-e6445d0f94b2bf6fc06db22699b7826f,86,87,org.xmlrpc.android.XMLRPCUtils
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/12bc1ec#diff-5b385b8eb81e7d27161bcdf6d7f8b774,175,181,de.greenrobot.event.EventBus
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/55e6c6e#diff-1aa4a71949956b3efbb90176f9cade97,417,416,de.greenrobot.event.EventBus
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/55e6c6e#diff-9cb11463889f01228d6e5c2518a8b771,170,161,de.greenrobot.event.EventBus
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/fdf453d#diff-2b9a76db266decbf1c990f2df72e48c3,74,76,de.greenrobot.event.EventBus
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/4b7b580#diff-339e1ea3210c67f894a26e04d833f5f9,92,88,de.greenrobot.event.EventBus
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/ccaceae#diff-bd4eaa15deb1338da7ce24981478314d,188,188-190,de.greenrobot.event.EventBus
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/213cac5#diff-ad9132395de77fd282a8107b5cbe8a7e,1630,1630,android.util.Base64
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/6eed2ea#diff-773a5f22084f1e8a93c825cfc3cff66f,186,187,org.xmlrpc.android.ApiHelper
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/6eed2ea#diff-773a5f22084f1e8a93c825cfc3cff66f,541,542,org.xmlrpc.android.ApiHelper
WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android/commit/6eed2ea#diff-773a5f22084f1e8a93c825cfc3cff66f,544,545,org.xmlrpc.android.ApiHelper
4pdaClient-plus,https://github.com/slartus/4pdaClient-plus/commit/4ea30c4#diff-c164bdb0d186a4c4bb28e302f94fdcce,54,53,org.jsoup.Jsoup
android-periodic-table,https://github.com/Frozen-Developers/android-periodic-table/commit/8fcc99a#diff-f5f23230524a61cb5bd4b57bde425233,251,327,android.support.v4.util.LruCache
android-smspopup,https://github.com/everythingandroid/android-smspopup/commit/4a0e62a#diff-518e5f273d8891163387b81c763d9612,465,462,com.commonsware.cwac.wakeful.WakefulIntentService
dandelion,https://github.com/Diaspora-for-Android/dandelion/commit/756b31a#diff-0419710243a1ec627a5198643790d06f,232,232,io.github.gsantner.opoc.util.HelpersA
Etar-Calendar,https://github.com/Etar-Group/Etar-Calendar/commit/974343a#diff-8ed1bf5396cf7b0288df3c976a73c52c,412,412,com.android.timezonepicker.TimeZonePickerUtils
Etar-Calendar,https://github.com/Etar-Group/Etar-Calendar/commit/ef1a51d#diff-c10fc9d471e70cf1b94d54d2296559ef,2620,2680,android.view.GestureDetector
hackerskeyboard,https://github.com/klausw/hackerskeyboard/commit/00e9b24#diff-c6a69df67144622e58791a8ec50fa598,2088,1986,com.google.android.voiceime.VoiceRecognitionTrigger
NewPipe,https://github.com/TeamNewPipe/NewPipe/commit/3bfc82f#diff-76828e6d0b3f5ecd83a3192a8908ce21,266,232,java.net.URLDecoder
ownCloud-SMS-App,https://github.com/nerzhul/ownCloud-SMS-App/commit/b7e9f63#diff-791813663b2ddda6c6eb4ef095021c3b,39,40,fr.nrz.androidlib.notifications.NrzNotification
ownCloud-SMS-App,https://github.com/nerzhul/ownCloud-SMS-App/commit/b7e9f63#diff-791813663b2ddda6c6eb4ef095021c3b,60,61,fr.nrz.androidlib.notifications.NrzNotification
PassAndroid,https://github.com/ligi/PassAndroid/commit/98d5041#diff-09df1a4e60faee897d45dc3355d6cced,111,105,com.google.common.io.Files
surespot-android,https://github.com/zoff99/surespot-android/commit/98d1913#diff-d5023da5e266eadc28135b7fdc8cd3ce,269,269,com.google.common.collect.ComparisonChain
TD,https://github.com/CiTuX/TD/commit/d8294ad#diff-e462fd2c06a20b44f62dfbfcc8426918,63,61,net.chilicat.m3u8.Playlist
Twidere-Android,https://github.com/TwidereProject/Twidere-Android/commit/94ee907#diff-d292d55a7fe0de6493f526197aac8510,106,106,com.nostra13.universalimageloader.utils.IoUtils
Twidere-Android,https://github.com/TwidereProject/Twidere-Android/commit/192c455#diff-ede682b0ccbc7fc1c7ebc6ba8b0350dc,77,78,android.text.TextUtils
Twidere-Android,https://github.com/TwidereProject/Twidere-Android/commit/77e8793#diff-175f01f8c8e8b40106f99ddf497230c2,81,82,com.bluelinelabs.logansquare.LoganSquare
Twidere-Android,https://github.com/TwidereProject/Twidere-Android/commit/6752f2d#diff-7bea7116dd156abd9f34950c6ada0786,88,89,org.apache.commons.lang3.math.NumberUtils
Twidere-Android,https://github.com/TwidereProject/Twidere-Android/commit/921be18#diff-e7b2331e680bdbfe0fddca95fa3a8050,156,160,com.bluelinelabs.logansquare.LoganSquare
Twidere-Android,https://github.com/TwidereProject/Twidere-Android/commit/c09259f#diff-285ec1207032eaa16755506018eda7e8,332,332,android.support.v4.view.ViewCompat
worldclockwidget,https://github.com/arminha/worldclockwidget/commit/6353a77#diff-d117141787139a0040f9d3fa111fe82a,193,189,com.actionbarsherlock.internal.ResourcesCompat
Freebloks-Android,https://github.com/shlusiak/Freebloks-Android/commit/a25b5da#diff-e461db325b3b6005df4cee71f063a7b3,205,206,android.opengl.GLUtils
mirrored,https://gitlab.com/mirrored/mirrored/commit/8bc097f#0cb0e5bf76983df2b9167246cb1051f8ae2e5e8f,68,70,org.apache.commons.io.IOUtils
opacclient,https://github.com/opacapp/opacclient/commit/e6b3b9d#diff-84a125974a5050de96192119fd5a95d2,63,60,org.acra.ACRA
opacclient,https://github.com/opacapp/opacclient/commit/e6b3b9d#diff-8cc477b3488443fddb1e2b7b1cded1be,289,300,org.acra.ACRA
open-event-android,https://github.com/fossasia/open-event-android/commit/121ba44#diff-a130509512b3794b6b0b91b940e68bc8,58,32	 java.util.TimeZone
OpenLinkWith,https://github.com/tasomaniac/OpenLinkWith/commit/84e297a#diff-2f30d3712c8965e674cfe6a73bfbc7ab,59,60,dagger.android.support.AndroidSupportInjection
orgzly-android,https://github.com/orgzly/orgzly-android/commit/0ce9c74#diff-31d93851cc89c1ebc68b86b4c79f7f0d,122,127,android.support.v4.content.LocalBroadcastManager
orweb,https://github.com/guardianproject/Orweb/commit/1163a07#diff-644acff923fd7e68935f4e4431cd900e,141,142,org.torproject.android.OrbotHelper
PlayWidget,https://github.com/Cleveroad/PlayWidget/commit/f2eab30#diff-7dbab05abd423cbe35512eff1be94342,714,719,android.support.v4.content.ContextCompat
rgb-tool,https://github.com/fasteque/rgb-tool/commit/4b580d9#diff-8e66913ec8bf65fa1b78d394ba2aa9f3,66,43,de.greenrobot.event.EventBus
rgb-tool,https://github.com/fasteque/rgb-tool/commit/4b580d9#diff-8e66913ec8bf65fa1b78d394ba2aa9f3,74,51,de.greenrobot.event.EventBus
SASAbus,https://github.com/SASAbus/SASAbus/commit/1730977#diff-0c627d19844d5246d0e7ef476b3df931,82,80,timber.log.Timber
Silence,https://github.com/SilenceIM/Silence/commit/68da4d2#diff-8e53a10697c538a8e380fa353a0f118b,32,31,android.support.v4.app.NotificationManagerCompat
stardroid,https://github.com/sky-map-team/stardroid/commit/388b294#diff-9ee723f2f02b38f6640b936491db0b5b,98,98,com.google.common.io.Closeables
stardroid,https://github.com/sky-map-team/stardroid/commit/388b294#diff-2ea2d5ad71e550b02a0ba11cc5519b46,46,46,com.google.common.base.Preconditions
stardroid,https://github.com/sky-map-team/stardroid/commit/388b294#diff-ec1532d170809c9c6ead66e4dc7e5742,62,62,com.google.common.base.Preconditions
turbo-editor,https://github.com/vmihalachi/turbo-editor/commit/b3a8539#diff-7a15176f02b88a59f919972e02cd1803,159,160,org.apache.commons.io.FilenameUtils
MaterialAudiobookPlayer,https://github.com/PaulWoitaschek/MaterialAudiobookPlayer/commit/659db40#diff-c471345ee3817f58e597b20ce9d67d3c,122,122,timber.log.Timber
MaterialAudiobookPlayer,https://github.com/PaulWoitaschek/MaterialAudiobookPlayer/commit/11270f3#diff-09058a5763227894e6fea90f255b8aba,109,110,com.google.common.base.Preconditions
MaterialAudiobookPlayer,https://github.com/PaulWoitaschek/MaterialAudiobookPlayer/commit/11270f3#diff-2a511221f36cc66158c3b1588a4c2f27,25-26,26,com.google.common.base.Preconditions
and-bookworm,https://github.com/charlieCollins/and-bookworm/commit/a183a77#diff-0995d65e70d7a9814268cfac49efd81d,181,182,android.graphics.BitmapFactory
and-bookworm,https://github.com/charlieCollins/and-bookworm/commit/a183a77#diff-99b6e1bd1d8bf0b37c18b61e06bc1844,49,58,android.graphics.BitmapFactory
Android-Remote,https://github.com/clementine-player/Android-Remote/commit/0142165#diff-2d13e5d8631bbd4ed34546f0739223a1,78,79,android.util.Base64
AntennaPod,https://github.com/AntennaPod/AntennaPod/commit/dc32fb8#diff-2ae5489bc9514ee57bde2c2563d95f79,24,25,org.apache.commons.lang3.StringEscapeUtils
AnyMemo,https://github.com/helloworld1/AnyMemo/commit/2902924#diff-9a05c740a6e25d629c0f2792be7b1e1d,177,178,org.apache.mycommons.io.FilenameUtils
AnyMemo,https://github.com/helloworld1/AnyMemo/commit/9c0b40a#diff-33795c57ee8e48a956c1824e551c496b,108,111,org.apache.mycommons.io.FileUtils
AnyMemo,https://github.com/helloworld1/AnyMemo/commit/4e69a1d#diff-d9f25a786be74b4143fd334dc1e5b74a,242,243,org.apache.mycommons.io.FileUtils
apps-android-wikipedia,https://github.com/wikimedia/apps-android-wikipedia/commit/81df12f#diff-8619271cc690a934cef5b539eca8b4b2,81,81,org.apache.commons.lang3.StringUtils
apps-android-wikipedia,https://github.com/wikimedia/apps-android-wikipedia/commit/1a70914#diff-d0bafac38ca5c0479bd8d0a2a466134c,133,92,android.support.v4.content.ContextCompat
apps-android-wikipedia,https://github.com/wikimedia/apps-android-wikipedia/commit/c24aab9#diff-9773f04db362ea7fe5af2bee711fb6bc,59,60,org.apache.commons.lang3.Validate
apps-android-wikipedia,https://github.com/wikimedia/apps-android-wikipedia/commit/a0f679c#diff-73026d03943719d9ae96ba1ef4618ad1,129,129,android.support.v4.view.ViewCompat
Audinaut,https://github.com/nvllsvm/Audinaut/commit/b13f719#diff-16be69e39bf4f6098d9ae01616e8be15,240,243,java.text.DateFormat
criticalmaps-android,https://github.com/criticalmaps/criticalmaps-android/commit/533b714#diff-6de5cbf243d26594e60591fdae99b852,70,71,java.util.UUID
gobandroid,https://github.com/ligi/gobandroid/commit/c69c18f#diff-5b66c6746dea26ad77c02fe92248a798,87,84,android.os.SystemClock
LeafPic,https://github.com/HoraApps/LeafPic/commit/4b88dad#diff-dedf56d5f94cd1a9b7577b0608a0a7f1,163,161,com.orhanobut.hawk.Hawk
LeafPic,https://github.com/HoraApps/LeafPic/commit/4b88dad#diff-f811b96c810220718a9804974e6db90a,123,121,com.orhanobut.hawk.Hawk
materialistic,https://github.com/hidroh/materialistic/commit/241fe18#diff-4cf9a8276243fab3d219e828eaccb6d5,20,23,android.support.v4.app.Fragment
mtmods4android,https://github.com/rubenwardy/mtmods4android/commit/0ad5a45#diff-5220e646aa35bd4bdac537aedfd2603f,153,146,org.greenrobot.eventbus.EventBus
Omni-Notes,https://github.com/federicoiosue/Omni-Notes/commit/9dd03fb#diff-abcfd212644e9f1d0eb3ee52bb9ddc72,35-38,36,de.greenrobot.event.EventBus
Omni-Notes,https://github.com/federicoiosue/Omni-Notes/commit/b87e27c#diff-2dc5e4b33b49bbaf780f4b8571a9ec95,887,870,de.greenrobot.event.EventBus
quitesleep,https://github.com/CesarValiente/quitesleep/commit/28c99a0#diff-33fba5613793e62af168c6988b8615bc,193,189,com.actionbarsherlock.internal.ResourcesCompat
ShowsRage,https://github.com/MGaetan89/ShowsRage/commit/be362c6#diff-c0d8a7d1879340a17e0873e0c49432b2,130,134,android.support.v4.content.LocalBroadcastManager
ShowsRage,https://github.com/MGaetan89/ShowsRage/commit/be362c6#diff-24ef30b8ee7c3061a3741264b9072758,79,79,android.support.v4.content.LocalBroadcastManager
